"","育齡婦女生育率─按區域別分"
"","總生育率 / 區域別總計 ","總生育率 / 新北市 ","總生育率 / 臺北縣 ","總生育率 / 臺北市 ","總生育率 / 桃園市 ","總生育率 / 桃園縣(103年改制前) ","總生育率 / 臺中市 ","總生育率 / 臺中市(99年改制前) ","總生育率 / 臺中縣 ","總生育率 / 臺南市 ","總生育率 / 臺南市(99年改制前) ","總生育率 / 臺南縣 ","總生育率 / 高雄市 ","總生育率 / 高雄市(99年改制前) ","總生育率 / 高雄縣 ","總生育率 / 宜蘭縣 ","總生育率 / 新竹縣 ","總生育率 / 苗栗縣 ","總生育率 / 彰化縣 ","總生育率 / 南投縣 ","總生育率 / 雲林縣 ","總生育率 / 嘉義縣 ","總生育率 / 屏東縣 ","總生育率 / 臺東縣 ","總生育率 / 花蓮縣 ","總生育率 / 澎湖縣 ","總生育率 / 基隆市 ","總生育率 / 新竹市 ","總生育率 / 嘉義市 ","總生育率 / 金門縣 ","總生育率 / 連江縣 ","15-19歲 / 區域別總計 ","15-19歲 / 新北市 ","15-19歲 / 臺北縣 ","15-19歲 / 臺北市 ","15-19歲 / 桃園市 ","15-19歲 / 桃園縣(103年改制前) ","15-19歲 / 臺中市 ","15-19歲 / 臺中市(99年改制前) ","15-19歲 / 臺中縣 ","15-19歲 / 臺南市 ","15-19歲 / 臺南市(99年改制前) ","15-19歲 / 臺南縣 ","15-19歲 / 高雄市 ","15-19歲 / 高雄市(99年改制前) ","15-19歲 / 高雄縣 ","15-19歲 / 宜蘭縣 ","15-19歲 / 新竹縣 ","15-19歲 / 苗栗縣 ","15-19歲 / 彰化縣 ","15-19歲 / 南投縣 ","15-19歲 / 雲林縣 ","15-19歲 / 嘉義縣 ","15-19歲 / 屏東縣 ","15-19歲 / 臺東縣 ","15-19歲 / 花蓮縣 ","15-19歲 / 澎湖縣 ","15-19歲 / 基隆市 ","15-19歲 / 新竹市 ","15-19歲 / 嘉義市 ","15-19歲 / 金門縣 ","15-19歲 / 連江縣 ","20-24歲 / 區域別總計 ","20-24歲 / 新北市 ","20-24歲 / 臺北縣 ","20-24歲 / 臺北市 ","20-24歲 / 桃園市 ","20-24歲 / 桃園縣(103年改制前) ","20-24歲 / 臺中市 ","20-24歲 / 臺中市(99年改制前) ","20-24歲 / 臺中縣 ","20-24歲 / 臺南市 ","20-24歲 / 臺南市(99年改制前) ","20-24歲 / 臺南縣 ","20-24歲 / 高雄市 ","20-24歲 / 高雄市(99年改制前) ","20-24歲 / 高雄縣 ","20-24歲 / 宜蘭縣 ","20-24歲 / 新竹縣 ","20-24歲 / 苗栗縣 ","20-24歲 / 彰化縣 ","20-24歲 / 南投縣 ","20-24歲 / 雲林縣 ","20-24歲 / 嘉義縣 ","20-24歲 / 屏東縣 ","20-24歲 / 臺東縣 ","20-24歲 / 花蓮縣 ","20-24歲 / 澎湖縣 ","20-24歲 / 基隆市 ","20-24歲 / 新竹市 ","20-24歲 / 嘉義市 ","20-24歲 / 金門縣 ","20-24歲 / 連江縣 ","25-29歲 / 區域別總計 ","25-29歲 / 新北市 ","25-29歲 / 臺北縣 ","25-29歲 / 臺北市 ","25-29歲 / 桃園市 ","25-29歲 / 桃園縣(103年改制前) ","25-29歲 / 臺中市 ","25-29歲 / 臺中市(99年改制前) ","25-29歲 / 臺中縣 ","25-29歲 / 臺南市 ","25-29歲 / 臺南市(99年改制前) ","25-29歲 / 臺南縣 ","25-29歲 / 高雄市 ","25-29歲 / 高雄市(99年改制前) ","25-29歲 / 高雄縣 ","25-29歲 / 宜蘭縣 ","25-29歲 / 新竹縣 ","25-29歲 / 苗栗縣 ","25-29歲 / 彰化縣 ","25-29歲 / 南投縣 ","25-29歲 / 雲林縣 ","25-29歲 / 嘉義縣 ","25-29歲 / 屏東縣 ","25-29歲 / 臺東縣 ","25-29歲 / 花蓮縣 ","25-29歲 / 澎湖縣 ","25-29歲 / 基隆市 ","25-29歲 / 新竹市 ","25-29歲 / 嘉義市 ","25-29歲 / 金門縣 ","25-29歲 / 連江縣 ","30-34歲 / 區域別總計 ","30-34歲 / 新北市 ","30-34歲 / 臺北縣 ","30-34歲 / 臺北市 ","30-34歲 / 桃園市 ","30-34歲 / 桃園縣(103年改制前) ","30-34歲 / 臺中市 ","30-34歲 / 臺中市(99年改制前) ","30-34歲 / 臺中縣 ","30-34歲 / 臺南市 ","30-34歲 / 臺南市(99年改制前) ","30-34歲 / 臺南縣 ","30-34歲 / 高雄市 ","30-34歲 / 高雄市(99年改制前) ","30-34歲 / 高雄縣 ","30-34歲 / 宜蘭縣 ","30-34歲 / 新竹縣 ","30-34歲 / 苗栗縣 ","30-34歲 / 彰化縣 ","30-34歲 / 南投縣 ","30-34歲 / 雲林縣 ","30-34歲 / 嘉義縣 ","30-34歲 / 屏東縣 ","30-34歲 / 臺東縣 ","30-34歲 / 花蓮縣 ","30-34歲 / 澎湖縣 ","30-34歲 / 基隆市 ","30-34歲 / 新竹市 ","30-34歲 / 嘉義市 ","30-34歲 / 金門縣 ","30-34歲 / 連江縣 ","35-39歲 / 區域別總計 ","35-39歲 / 新北市 ","35-39歲 / 臺北縣 ","35-39歲 / 臺北市 ","35-39歲 / 桃園市 ","35-39歲 / 桃園縣(103年改制前) ","35-39歲 / 臺中市 ","35-39歲 / 臺中市(99年改制前) ","35-39歲 / 臺中縣 ","35-39歲 / 臺南市 ","35-39歲 / 臺南市(99年改制前) ","35-39歲 / 臺南縣 ","35-39歲 / 高雄市 ","35-39歲 / 高雄市(99年改制前) ","35-39歲 / 高雄縣 ","35-39歲 / 宜蘭縣 ","35-39歲 / 新竹縣 ","35-39歲 / 苗栗縣 ","35-39歲 / 彰化縣 ","35-39歲 / 南投縣 ","35-39歲 / 雲林縣 ","35-39歲 / 嘉義縣 ","35-39歲 / 屏東縣 ","35-39歲 / 臺東縣 ","35-39歲 / 花蓮縣 ","35-39歲 / 澎湖縣 ","35-39歲 / 基隆市 ","35-39歲 / 新竹市 ","35-39歲 / 嘉義市 ","35-39歲 / 金門縣 ","35-39歲 / 連江縣 ","40-44歲 / 區域別總計 ","40-44歲 / 新北市 ","40-44歲 / 臺北縣 ","40-44歲 / 臺北市 ","40-44歲 / 桃園市 ","40-44歲 / 桃園縣(103年改制前) ","40-44歲 / 臺中市 ","40-44歲 / 臺中市(99年改制前) ","40-44歲 / 臺中縣 ","40-44歲 / 臺南市 ","40-44歲 / 臺南市(99年改制前) ","40-44歲 / 臺南縣 ","40-44歲 / 高雄市 ","40-44歲 / 高雄市(99年改制前) ","40-44歲 / 高雄縣 ","40-44歲 / 宜蘭縣 ","40-44歲 / 新竹縣 ","40-44歲 / 苗栗縣 ","40-44歲 / 彰化縣 ","40-44歲 / 南投縣 ","40-44歲 / 雲林縣 ","40-44歲 / 嘉義縣 ","40-44歲 / 屏東縣 ","40-44歲 / 臺東縣 ","40-44歲 / 花蓮縣 ","40-44歲 / 澎湖縣 ","40-44歲 / 基隆市 ","40-44歲 / 新竹市 ","40-44歲 / 嘉義市 ","40-44歲 / 金門縣 ","40-44歲 / 連江縣 ","45-49歲 / 區域別總計 ","45-49歲 / 新北市 ","45-49歲 / 臺北縣 ","45-49歲 / 臺北市 ","45-49歲 / 桃園市 ","45-49歲 / 桃園縣(103年改制前) ","45-49歲 / 臺中市 ","45-49歲 / 臺中市(99年改制前) ","45-49歲 / 臺中縣 ","45-49歲 / 臺南市 ","45-49歲 / 臺南市(99年改制前) ","45-49歲 / 臺南縣 ","45-49歲 / 高雄市 ","45-49歲 / 高雄市(99年改制前) ","45-49歲 / 高雄縣 ","45-49歲 / 宜蘭縣 ","45-49歲 / 新竹縣 ","45-49歲 / 苗栗縣 ","45-49歲 / 彰化縣 ","45-49歲 / 南投縣 ","45-49歲 / 雲林縣 ","45-49歲 / 嘉義縣 ","45-49歲 / 屏東縣 ","45-49歲 / 臺東縣 ","45-49歲 / 花蓮縣 ","45-49歲 / 澎湖縣 ","45-49歲 / 基隆市 ","45-49歲 / 新竹市 ","45-49歲 / 嘉義市 ","45-49歲 / 金門縣 ","45-49歲 / 連江縣 "
"84年","  1,775.00","  1,670.00","  1,670.00","  1,415.00","  1,925.00","  1,925.00","         -","  1,675.00","  1,905.00","         -","  1,550.00","  1,785.00","         -","  1,515.00","  1,785.00","  1,940.00","  2,235.00","  2,035.00","  1,950.00","  1,985.00","  2,080.00","  2,035.00","  1,895.00","  1,975.00","  1,960.00","  1,750.00","  1,710.00","  1,880.00","  1,640.00","  2,350.00","  1,885.00","     17.00","     14.00","     14.00","      6.00","     18.00","     18.00","         -","     10.00","     18.00","         -","     11.00","     18.00","         -","     10.00","     20.00","     24.00","     26.00","     23.00","     17.00","     27.00","     26.00","     24.00","     30.00","     41.00","     35.00","     21.00","     18.00","     17.00","     13.00","      8.00","      3.00","     86.00","     72.00","     72.00","     42.00","     99.00","     99.00","         -","     66.00","     95.00","         -","     63.00","    100.00","         -","     61.00","     94.00","    109.00","    124.00","    111.00","    103.00","    115.00","    123.00","    122.00","    112.00","    113.00","    111.00","     94.00","     78.00","     84.00","     74.00","     72.00","     60.00","    148.00","    140.00","    140.00","    115.00","    163.00","    163.00","         -","    150.00","    167.00","         -","    140.00","    154.00","         -","    135.00","    150.00","    155.00","    176.00","    165.00","    174.00","    158.00","    170.00","    165.00","    142.00","    142.00","    142.00","    144.00","    139.00","    160.00","    142.00","    239.00","    211.00","     82.00","     84.00","     84.00","     92.00","     83.00","     83.00","         -","     86.00","     81.00","         -","     77.00","     69.00","         -","     77.00","     75.00","     78.00","     96.00","     84.00","     79.00","     78.00","     78.00","     76.00","     75.00","     75.00","     76.00","     75.00","     83.00","     91.00","     75.00","    110.00","     94.00","     20.00","     21.00","     21.00","     25.00","     20.00","     20.00","         -","     20.00","     18.00","         -","     18.00","     14.00","         -","     18.00","     16.00","     18.00","     21.00","     21.00","     16.00","     17.00","     17.00","     18.00","     18.00","     21.00","     24.00","     15.00","     21.00","     22.00","     22.00","     36.00","      9.00","      2.00","      3.00","      3.00","      3.00","      2.00","      2.00","         -","      3.00","      2.00","         -","      1.00","      2.00","         -","      2.00","      2.00","      3.00","      3.00","      3.00","      1.00","      2.00","      2.00","      2.00","      2.00","      3.00","      4.00","      1.00","      3.00","      2.00","      2.00","      5.00","         -","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","         -","      0.10","      0.10","         -","         -","      0.10","         -","      0.10","      0.10","      1.00","      1.00","         -","      0.10","      0.10","      0.10","         -","      0.10","      0.10","      0.10","         -","      0.10","         -","         -","         -","         -"
"85年","  1,760.00","  1,580.00","  1,580.00","  1,450.00","  1,920.00","  1,920.00","         -","  1,700.00","  1,935.00","         -","  1,495.00","  1,765.00","         -","  1,500.00","  1,775.00","  1,890.00","  2,270.00","  2,045.00","  1,975.00","  1,980.00","  2,070.00","  2,055.00","  1,905.00","  2,010.00","  1,965.00","  1,635.00","  1,660.00","  1,855.00","  1,650.00","  2,215.00","  1,865.00","     17.00","     13.00","     13.00","      6.00","     18.00","     18.00","         -","     10.00","     17.00","         -","     11.00","     18.00","         -","     10.00","     20.00","     22.00","     29.00","     24.00","     18.00","     29.00","     25.00","     26.00","     28.00","     44.00","     36.00","     16.00","     18.00","     16.00","     12.00","      7.00","     15.00","     83.00","     68.00","     68.00","     40.00","     96.00","     96.00","         -","     61.00","     92.00","         -","     61.00","     96.00","         -","     59.00","     88.00","    102.00","    122.00","    110.00","     99.00","    112.00","    120.00","    120.00","    110.00","    113.00","    106.00","     83.00","     77.00","     85.00","     77.00","     71.00","     43.00","    145.00","    131.00","    131.00","    116.00","    161.00","    161.00","         -","    154.00","    168.00","         -","    131.00","    149.00","         -","    129.00","    149.00","    154.00","    177.00","    163.00","    173.00","    154.00","    167.00","    164.00","    144.00","    139.00","    143.00","    138.00","    132.00","    148.00","    139.00","    202.00","    184.00","     84.00","     81.00","     81.00","     96.00","     84.00","     84.00","         -","     92.00","     87.00","         -","     76.00","     74.00","         -","     82.00","     79.00","     79.00","     98.00","     88.00","     87.00","     79.00","     84.00","     81.00","     78.00","     80.00","     80.00","     72.00","     80.00","     94.00","     79.00","    122.00","    113.00","     21.00","     21.00","     21.00","     28.00","     22.00","     22.00","         -","     21.00","     20.00","         -","     18.00","     14.00","         -","     18.00","     17.00","     19.00","     25.00","     21.00","     16.00","     19.00","     16.00","     18.00","     19.00","     21.00","     24.00","     16.00","     23.00","     24.00","     21.00","     34.00","     18.00","      2.00","      2.00","      2.00","      4.00","      3.00","      3.00","         -","      2.00","      3.00","         -","      2.00","      2.00","         -","      2.00","      2.00","      2.00","      3.00","      3.00","      2.00","      3.00","      2.00","      2.00","      2.00","      4.00","      4.00","      2.00","      2.00","      4.00","      2.00","      7.00","         -","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","         -","      0.10","      0.10","         -","      0.10","      0.10","         -","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      1.00","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10"
"86年","  1,770.00","  1,575.00","  1,575.00","  1,540.00","  1,920.00","  1,920.00","         -","  1,700.00","  1,910.00","         -","  1,485.00","  1,810.00","         -","  1,495.00","  1,760.00","  1,910.00","  2,245.00","  2,005.00","  1,970.00","  1,985.00","  2,100.00","  2,100.00","  1,870.00","  1,985.00","  1,925.00","  1,860.00","  1,620.00","  1,860.00","  1,640.00","  2,130.00","  1,620.00","     15.00","     11.00","     11.00","      6.00","     17.00","     17.00","         -","      8.00","     16.00","         -","     10.00","     16.00","         -","      8.00","     19.00","     20.00","     27.00","     19.00","     17.00","     26.00","     24.00","     24.00","     27.00","     40.00","     34.00","     16.00","     15.00","     13.00","     12.00","      5.00","      6.00","     80.00","     65.00","     65.00","     41.00","     95.00","     95.00","         -","     63.00","     87.00","         -","     55.00","     94.00","         -","     56.00","     87.00","     99.00","    117.00","    107.00","     95.00","    106.00","    120.00","    115.00","    108.00","    108.00","    102.00","     98.00","     71.00","     81.00","     67.00","     68.00","     75.00","    147.00","    131.00","    131.00","    124.00","    161.00","    161.00","         -","    149.00","    170.00","         -","    132.00","    155.00","         -","    128.00","    146.00","    154.00","    175.00","    165.00","    175.00","    156.00","    170.00","    171.00","    143.00","    138.00","    136.00","    143.00","    130.00","    154.00","    141.00","    180.00","    129.00","     87.00","     83.00","     83.00","    104.00","     86.00","     86.00","         -","     93.00","     86.00","         -","     80.00","     78.00","         -","     84.00","     80.00","     87.00","    101.00","     87.00","     88.00","     87.00","     87.00","     87.00","     76.00","     84.00","     84.00","     90.00","     82.00","     99.00","     83.00","    137.00","     78.00","     22.00","     22.00","     22.00","     30.00","     22.00","     22.00","         -","     24.00","     21.00","         -","     18.00","     17.00","         -","     20.00","     18.00","     20.00","     26.00","     21.00","     17.00","     20.00","     18.00","     21.00","     18.00","     22.00","     24.00","     22.00","     23.00","     23.00","     23.00","     33.00","     28.00","      3.00","      3.00","      3.00","      3.00","      3.00","      3.00","         -","      3.00","      2.00","         -","      2.00","      2.00","         -","      3.00","      2.00","      2.00","      3.00","      2.00","      2.00","      2.00","      1.00","      2.00","      2.00","      5.00","      5.00","      3.00","      3.00","      2.00","      2.00","      2.00","      8.00","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","         -","      0.10","      0.10","         -","         -","      0.10","         -","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","      0.10","         -","      0.10","      0.10","      0.10","      1.00","         -"
"87年","  1,465.00","  1,295.00","  1,295.00","  1,310.00","  1,595.00","  1,595.00","         -","  1,350.00","  1,545.00","         -","  1,190.00","  1,485.00","         -","  1,210.00","  1,445.00","  1,555.00","  1,885.00","  1,625.00","  1,670.00","  1,675.00","  1,745.00","  1,795.00","  1,550.00","  1,760.00","  1,595.00","  1,500.00","  1,355.00","  1,515.00","  1,325.00","  1,825.00","  1,360.00","     14.00","     11.00","     11.00","      5.00","     16.00","     16.00","         -","      7.00","     13.00","         -","      9.00","     15.00","         -","      9.00","     16.00","     21.00","     22.00","     18.00","     16.00","     23.00","     22.00","     23.00","     22.00","     33.00","     31.00","     16.00","     12.00","     12.00","     11.00","      4.00","     13.00","     66.00","     54.00","     54.00","     35.00","     79.00","     79.00","         -","     48.00","     71.00","         -","     43.00","     76.00","         -","     46.00","     72.00","     80.00","     97.00","     84.00","     81.00","     92.00","    101.00","    100.00","     86.00","    101.00","     85.00","     73.00","     58.00","     64.00","     56.00","     63.00","     40.00","    116.00","    102.00","    102.00","     98.00","    126.00","    126.00","         -","    114.00","    131.00","         -","    102.00","    121.00","         -","     98.00","    114.00","    118.00","    147.00","    130.00","    143.00","    129.00","    138.00","    141.00","    115.00","    118.00","    110.00","    114.00","    106.00","    121.00","    107.00","    152.00","    135.00","     73.00","     69.00","     69.00","     90.00","     74.00","     74.00","         -","     77.00","     73.00","         -","     64.00","     66.00","         -","     68.00","     67.00","     70.00","     83.00","     72.00","     76.00","     68.00","     70.00","     74.00","     68.00","     72.00","     68.00","     75.00","     69.00","     79.00","     72.00","    116.00","     62.00","     21.00","     20.00","     20.00","     30.00","     21.00","     21.00","         -","     21.00","     19.00","         -","     18.00","     17.00","         -","     19.00","     18.00","     20.00","     25.00","     19.00","     16.00","     20.00","     17.00","     19.00","     17.00","     25.00","     22.00","     19.00","     23.00","     25.00","     17.00","     27.00","     18.00","      3.00","      3.00","      3.00","      4.00","      3.00","      3.00","         -","      3.00","      2.00","         -","      2.00","      2.00","         -","      2.00","      2.00","      2.00","      3.00","      2.00","      2.00","      3.00","      1.00","      2.00","      2.00","      3.00","      3.00","      3.00","      3.00","      2.00","      2.00","      3.00","      4.00","      0.20","      0.20","      0.20","      0.20","      0.20","      0.20","         -","      0.10","      0.10","         -","      0.30","      0.10","         -","      0.20","      0.20","      0.20","      0.40","      0.20","      0.10","      0.30","      0.30","      0.30","      0.10","      0.40","      0.20","         -","         -","      0.20","      0.20","         -","         -"
"88年","  1,555.00","  1,345.00","  1,345.00","  1,410.00","  1,690.00","  1,690.00","         -","  1,485.00","  1,670.00","         -","  1,290.00","  1,575.00","         -","  1,285.00","  1,530.00","  1,585.00","  2,055.00","  1,800.00","  1,760.00","  1,700.00","  1,860.00","  1,825.00","  1,580.00","  1,775.00","  1,675.00","  1,625.00","  1,420.00","  1,625.00","  1,425.00","  1,890.00","  1,895.00","     12.90","      9.60","      9.60","      4.70","     14.00","     14.00","         -","      6.00","     14.10","         -","      8.60","     14.70","         -","      7.00","     15.60","     16.70","     21.40","     18.60","     15.60","     21.40","     20.10","     20.50","     20.80","     31.40","     30.60","     12.40","     11.40","     12.70","      9.40","      6.40","      3.40","     65.80","     52.70","     52.70","     33.20","     77.40","     77.40","         -","     47.60","     72.70","         -","     46.40","     73.80","         -","     43.40","     71.20","     75.20","    100.60","     90.60","     83.50","     86.00","    101.30","     98.90","     83.30","    100.10","     82.50","     77.30","     63.40","     63.70","     58.80","     61.00","     78.00","    125.90","    109.40","    109.40","    106.80","    141.70","    141.70","         -","    131.70","    145.30","         -","    106.50","    134.60","         -","    106.60","    124.40","    128.50","    165.70","    146.50","    148.40","    136.70","    150.40","    144.20","    123.50","    118.10","    117.60","    131.40","    116.20","    135.40","    119.60","    153.20","    153.00","     81.60","     74.10","     74.10","    101.90","     81.00","     81.00","         -","     87.40","     81.80","         -","     75.60","     74.40","         -","     78.80","     75.70","     74.60","     97.60","     81.80","     83.70","     75.20","     81.50","     80.90","     69.60","     75.00","     75.80","     78.90","     70.20","     89.90","     75.20","    111.90","     88.20","     20.70","     20.40","     20.40","     30.70","     20.80","     20.80","         -","     21.70","     17.70","         -","     17.60","     15.10","         -","     19.00","     16.90","     18.10","     21.20","     18.10","     18.20","     18.90","     17.30","     18.00","     16.20","     26.40","     21.70","     23.80","     21.30","     21.40","     19.80","     39.90","     48.70","      2.60","      2.60","      2.60","      3.80","      2.50","      2.50","         -","      2.40","      2.10","         -","      2.20","      1.60","         -","      2.30","      2.10","      2.90","      4.00","      3.30","      1.90","      2.10","      2.30","      2.10","      1.80","      5.10","      3.80","      2.20","      2.80","      2.20","      2.30","      5.10","      8.40","      0.20","      0.20","      0.20","      0.20","      0.20","      0.20","         -","      0.20","      0.20","         -","      0.20","      0.10","         -","      0.10","      0.20","      0.10","      0.40","      0.10","      0.20","      0.20","      0.10","      0.30","      0.30","      0.10","      0.50","         -","         -","      0.20","      0.30","      0.60","         -"
